date_mutation,valeur_fonciere,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
27/01/2020,67000,Saint-Prouant,Maison,100,4,210,-0.958125,46.758771
23/01/2020,425000,La Roche-sur-Yon,Maison,216,6,390,-1.41968,46.67099
18/01/2020,140000,Mareuil-sur-Lay-Dissais,Maison,79,4,954,-1.213069,46.537843
14/01/2020,156500,La Roche-sur-Yon,Maison,125,6,636,-1.452221,46.664794
10/01/2020,155000,Les Herbiers,Maison,126,4,2660,-1.010632,46.883222
10/01/2020,155000,Les Herbiers,Maison,126,4,160,-1.010632,46.883222
24/01/2020,350000,Aizenay,Maison,200,6,1159,-1.65002,46.696608
24/01/2020,175100,La Chapelle-Palluau,Maison,106,4,1037,-1.62548,46.783046
11/02/2020,130000,La Roche-sur-Yon,Maison,62,4,366,-1.444521,46.680365
01/02/2020,130000,L'Herbergement,Maison,72,4,1366,-1.381122,46.902883
30/01/2020,150000,Mortagne-sur-Sèvre,Maison,87,4,997,-0.977006,47.001568
04/02/2020,240200,Chantonnay,Maison,210,7,3546,-1.038975,46.680661
04/02/2020,240200,Chantonnay,Maison,210,7,1000,-1.038975,46.680661
24/01/2020,147000,Saint-Philbert-de-Bouaine,Maison,84,3,384,-1.521736,46.993206
30/01/2020,215000,Treize-Septiers,Maison,110,4,531,-1.238772,46.986543
28/01/2020,300000,La Roche-sur-Yon,Maison,69,5,606,-1.440047,46.674465
06/02/2020,210000,Chantonnay,Maison,200,10,852,-1.052418,46.689729
24/01/2020,205000,Montréverd,Maison,102,5,775,-1.414966,46.930571
27/01/2020,360000,Essarts en Bocage,Maison,160,6,2076,-1.139416,46.809255
06/02/2020,180000,Saint-Martin-des-Noyers,Maison,111,4,705,-1.181832,46.721472
27/01/2020,153000,Les Herbiers,Maison,80,5,688,-1.00856,46.885525
28/01/2020,200000,Les Herbiers,Maison,83,4,312,-1.012442,46.864679
23/01/2020,36358.6,Saint-Paul-en-Pareds,Maison,76,4,65,-0.965668,46.842706
20/01/2020,2500,Treize-Vents,Maison,16,1,30,-0.868066,46.931344
29/01/2020,214000,Mouilleron-le-Captif,Maison,112,4,654,-1.463605,46.728649
28/01/2020,95000,La Chapelle-Palluau,Maison,82,4,434,-1.622894,46.781354
27/01/2020,145700,Les Herbiers,Maison,68,4,226,-1.00926,46.868306
18/01/2020,75000,La Bretonnière-la-Claye,Maison,120,6,500,-1.254962,46.480094
18/01/2020,75000,La Bretonnière-la-Claye,Maison,120,6,972,-1.254962,46.480094
30/01/2020,155439.56,Bellevigny,Maison,90,4,681,-1.422172,46.781595
27/01/2020,96300,Les Lucs-sur-Boulogne,Maison,80,3,1059,-1.54895,46.844678
24/01/2020,162000,Vendrennes,Maison,86,4,473,-1.119937,46.829976
06/02/2020,190000,La Roche-sur-Yon,Maison,117,5,442,-1.412082,46.665008
30/01/2020,5000,Aubigny-Les Clouzeaux,Maison,54,1,327,-1.476078,46.604253
28/01/2020,414900,Aizenay,Maison,94,5,2763,-1.609505,46.728179
28/01/2020,414900,Aizenay,Maison,94,5,1000,-1.609505,46.728179
17/01/2020,187500,Les Lucs-sur-Boulogne,Maison,103,5,500,-1.501913,46.846706
17/01/2020,187500,Les Lucs-sur-Boulogne,Maison,103,5,794,-1.501913,46.846706
01/02/2020,200000,Saint-Aubin-des-Ormeaux,Maison,102,4,815,-1.045161,46.99596
31/01/2020,59000,Saint-Philbert-de-Bouaine,Maison,120,5,359,-1.503325,46.987123
20/01/2020,182500,Aubigny-Les Clouzeaux,Maison,95,4,556,-1.45992,46.590833
07/02/2020,229000,Chauché,Maison,105,4,1000,-1.279004,46.830536
07/02/2020,229000,Chauché,Maison,105,4,1698,-1.279004,46.830536
29/01/2020,180000,Les Landes-Genusson,Maison,122,5,81,-1.120764,46.960658
31/01/2020,218000,Venansault,Maison,114,5,691,-1.520631,46.692741
06/02/2020,371600,La Genétouze,Maison,145,5,987,-1.514656,46.722669
20/01/2020,95000,Saint-Philbert-de-Bouaine,Maison,40,3,40,-1.52296,46.985088
07/02/2020,325000,Chantonnay,Maison,145,7,2540,-1.069311,46.681913
27/01/2020,140000,Venansault,Maison,75,4,1357,-1.514878,46.690539
03/02/2020,222000,Mouilleron-le-Captif,Maison,90,4,628,-1.467535,46.726582
11/02/2020,155000,Chantonnay,Maison,123,5,340,-1.051416,46.690742
11/02/2020,155000,Chantonnay,Maison,123,5,600,-1.051416,46.690742
11/02/2020,82500,Chantonnay,Maison,73,4,950,-1.042218,46.684318
07/02/2020,117000,Saint-Prouant,Maison,77,3,680,-0.953675,46.753742
07/02/2020,97500,Chantonnay,Maison,80,5,134,-1.03006,46.705728
11/02/2020,225150,Aizenay,Maison,101,4,864,-1.597398,46.741681
21/01/2020,95000,Sainte-Cécile,Maison,31,1,1120,-1.12311,46.739902
21/01/2020,95000,Sainte-Cécile,Maison,75,4,1120,-1.12311,46.739902
21/01/2020,52500,Mortagne-sur-Sèvre,Maison,89,4,57,-0.954568,46.990041
21/01/2020,185000,Mortagne-sur-Sèvre,Maison,115,5,908,-0.948361,46.988894
22/01/2020,160000,Saint-Malô-du-Bois,Maison,96,3,500,-0.904802,46.92993
22/01/2020,160000,Saint-Malô-du-Bois,Maison,96,3,211,-0.904802,46.92993
21/01/2020,209350,Mortagne-sur-Sèvre,Maison,48,3,220,-0.950583,46.993008
20/01/2020,53000,Mortagne-sur-Sèvre,Maison,30,1,123,-0.95459,46.992932
27/01/2020,135000,La Roche-sur-Yon,Maison,75,5,359,-1.446769,46.650554
12/02/2020,161000,Beaurepaire,Maison,132,5,309,-1.090093,46.910498
22/01/2020,30000,Montaigu-Vendée,Maison,42,2,36,-1.311931,46.97711
28/01/2020,187000,La Bruffière,Maison,94,5,751,-1.192599,47.014778
28/01/2020,240000,La Roche-sur-Yon,Maison,100,5,532,-1.44165,46.665365
18/02/2020,193500,Mareuil-sur-Lay-Dissais,Maison,90,4,866,-1.215388,46.527407
10/02/2020,148000,Le Poiré-sur-Vie,Maison,75,3,360,-1.507897,46.768644
10/02/2020,69500,Dompierre-sur-Yon,Maison,85,3,460,-1.385449,46.742148
13/01/2020,87200,Les Herbiers,Maison,89,4,125,-1.085988,46.876222
16/01/2020,300000,Le Poiré-sur-Vie,Maison,145,6,464,-1.510152,46.768859
16/01/2020,300000,Le Poiré-sur-Vie,Maison,45,1,464,-1.510152,46.768859
30/01/2020,141500,La Bruffière,Maison,80,4,600,-1.190473,47.010985
12/02/2020,225000,Aubigny-Les Clouzeaux,Maison,103,5,584,-1.453445,46.598253
28/01/2020,135000,La Roche-sur-Yon,Maison,75,5,569,-1.443829,46.681143
28/01/2020,90000,Beaurepaire,Maison,47,3,56,-1.085146,46.910766
14/02/2020,162000,La Roche-sur-Yon,Maison,116,5,201,-1.429778,46.675335
29/01/2020,191000,Saint-Philbert-de-Bouaine,Maison,79,5,616,-1.52018,46.981856
30/01/2020,137283.5,Les Herbiers,Maison,67,4,500,-1.017743,46.867309
11/02/2020,140000,La Roche-sur-Yon,Maison,65,4,881,-1.440723,46.685675
24/01/2020,135000,Saint-Aubin-des-Ormeaux,Maison,72,4,678,-1.039067,46.990406
24/01/2020,212000,La Roche-sur-Yon,Maison,100,5,747,-1.43233,46.653576
17/02/2020,160000,Mareuil-sur-Lay-Dissais,Maison,130,4,885,-1.226167,46.528066
17/02/2020,170000,Nesmy,Maison,97,4,700,-1.392801,46.585139
17/02/2020,170000,Nesmy,Maison,97,4,657,-1.392801,46.585139
18/02/2020,74500,Nesmy,Maison,68,2,93,-1.40266,46.593606
