,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
2164,12/05/2021,150000.0,88,4,-0.615476,47.461679,angers,49000,angers,-0.556221025,47.47665708,4.767392365528186
2165,19/05/2021,325000.0,78,2,-0.560872,47.474612,angers,49100,angers,-0.556221025,47.47665708,0.4178596297429589
2166,20/05/2021,245000.0,93,4,-0.561465,47.490577,angers,49100,angers,-0.556221025,47.47665708,1.5972883411174066
2167,01/06/2021,160317.0,62,3,-0.569947,47.480281,angers,49100,angers,-0.556221025,47.47665708,1.1102722338715851
2168,25/05/2021,185000.0,72,4,-0.569947,47.480281,angers,49100,angers,-0.556221025,47.47665708,1.1102722338715851
2169,08/06/2021,200000.0,66,3,-0.567563,47.478217,angers,49100,angers,-0.556221025,47.47665708,0.8723252646346041
2170,17/05/2021,114750.0,30,1,-0.56948,47.475101,angers,49100,angers,-0.556221025,47.47665708,1.0142992556129915
2171,17/05/2021,103200.0,52,2,-0.580874,47.474232,angers,49000,angers,-0.556221025,47.47665708,1.877766637794954
2172,10/06/2021,130000.0,40,3,-0.562823,47.475515,angers,49100,angers,-0.556221025,47.47665708,0.5135862060551741
2173,26/05/2021,126000.0,71,3,-0.562066,47.485246,angers,49100,angers,-0.556221025,47.47665708,1.0516388799638285
2174,07/06/2021,266000.0,68,3,-0.566457,47.470623,angers,49100,angers,-0.556221025,47.47665708,1.0224644985166347
2175,10/06/2021,290000.0,100,3,-0.55871,47.474084,angers,49100,angers,-0.556221025,47.47665708,0.3421093784468401
2176,27/05/2021,147000.0,47,2,-0.572694,47.486737,angers,49100,angers,-0.556221025,47.47665708,1.6725496585094297
2177,10/06/2021,74000.0,25,1,-0.560713,47.479675,angers,49100,angers,-0.556221025,47.47665708,0.47667584520231526
2178,27/05/2021,280000.0,68,3,-0.567102,47.477781,angers,49100,angers,-0.556221025,47.47665708,0.829630476949166
2179,28/05/2021,230000.0,90,4,-0.604088,47.466514,angers,49000,angers,-0.556221025,47.47665708,3.78052600225839
2180,07/06/2021,110000.0,33,1,-0.563961,47.486027,angers,49100,angers,-0.556221025,47.47665708,1.1939665479236528
2181,17/06/2021,155000.0,55,3,-0.579388,47.472968,angers,49000,angers,-0.556221025,47.47665708,1.7938362743827796
2182,31/05/2021,122000.0,30,2,-0.599709,47.468323,angers,49000,angers,-0.556221025,47.47665708,3.406681964461266
2183,31/05/2021,128000.0,32,1,-0.563771,47.475998,angers,49100,angers,-0.556221025,47.47665708,0.573795825642849
2184,16/06/2021,175100.0,109,5,-0.604494,47.46008,angers,49000,angers,-0.556221025,47.47665708,4.079323014546512
2185,17/05/2021,310000.0,83,4,-0.560695,47.488547,angers,49100,angers,-0.556221025,47.47665708,1.3642526611884986
2186,02/06/2021,199000.0,90,4,-0.604088,47.466514,angers,49000,angers,-0.556221025,47.47665708,3.78052600225839
2187,28/05/2021,70000.0,40,2,-0.586631,47.474039,angers,49000,angers,-0.556221025,47.47665708,2.310675344691038
2188,21/06/2021,588000.0,25,1,-0.592763,47.47842,angers,49000,angers,-0.556221025,47.47665708,2.761341726449889
2189,21/06/2021,588000.0,30,2,-0.592763,47.47842,angers,49000,angers,-0.556221025,47.47665708,2.761341726449889
2190,21/06/2021,588000.0,37,2,-0.592763,47.47842,angers,49000,angers,-0.556221025,47.47665708,2.761341726449889
2191,22/06/2021,420000.0,27,2,-0.583365,47.473143,angers,49000,angers,-0.556221025,47.47665708,2.0830655180341098
2192,22/06/2021,420000.0,30,2,-0.583365,47.473143,angers,49000,angers,-0.556221025,47.47665708,2.0830655180341098
2193,22/06/2021,420000.0,28,2,-0.583365,47.473143,angers,49000,angers,-0.556221025,47.47665708,2.0830655180341098
2194,22/06/2021,420000.0,30,2,-0.583365,47.473143,angers,49000,angers,-0.556221025,47.47665708,2.0830655180341098
2195,31/05/2021,84207.0,30,1,-0.56113,47.474419,angers,49100,angers,-0.556221025,47.47665708,0.4459143837961859
2196,07/06/2021,169900.0,71,3,-0.574843,47.485976,angers,49100,angers,-0.556221025,47.47665708,1.744533147357308
2197,21/06/2021,150500.0,51,2,-0.560695,47.488547,angers,49100,angers,-0.556221025,47.47665708,1.3642526611884986
2198,21/06/2021,122000.0,40,2,-0.570777,47.473445,angers,49100,angers,-0.556221025,47.47665708,1.1538729376936259
2199,21/06/2021,250000.0,89,4,-0.567299,47.473088,angers,49100,angers,-0.556221025,47.47665708,0.9245383031881954
2200,15/06/2021,118000.0,60,2,-0.560437,47.473379,angers,49100,angers,-0.556221025,47.47665708,0.48355371112036655
2201,21/06/2021,167000.0,45,2,-0.560292,47.474644,angers,49100,angers,-0.556221025,47.47665708,0.37981332686348535
2202,22/06/2021,136010.0,49,2,-0.57285,47.480811,angers,49100,angers,-0.556221025,47.47665708,1.3357702155204374
2203,15/06/2021,267000.0,67,3,-0.570187,47.470786,angers,49000,angers,-0.556221025,47.47665708,1.2387115345193884
2204,25/06/2021,167000.0,43,2,-0.562855,47.473022,angers,49100,angers,-0.556221025,47.47665708,0.6429635661384795
2205,14/06/2021,110000.0,30,2,-0.579165,47.474138,angers,49000,angers,-0.556221025,47.47665708,1.7520188348669863
2206,24/06/2021,119000.0,30,2,-0.565193,47.476222,angers,49100,angers,-0.556221025,47.47665708,0.6780107087968784
2207,14/06/2021,135000.0,55,2,-0.615476,47.461679,angers,49000,angers,-0.556221025,47.47665708,4.767392365528186
2208,24/06/2021,115000.0,29,1,-0.565193,47.476222,angers,49100,angers,-0.556221025,47.47665708,0.6780107087968784
2209,04/06/2021,300000.0,95,4,-0.567758,47.481148,angers,49100,angers,-0.556221025,47.47665708,1.0027361925758471
2210,22/06/2021,145000.0,52,2,-0.567563,47.478217,angers,49100,angers,-0.556221025,47.47665708,0.8723252646346041
2211,17/06/2021,94000.0,31,1,-0.568603,47.47413,angers,49100,angers,-0.556221025,47.47665708,0.9747096305599505
2212,07/06/2021,300000.0,84,4,-0.59993,47.458544,angers,49000,angers,-0.556221025,47.47665708,3.861849525656568
2213,30/06/2021,154400.0,80,3,-0.604494,47.46008,angers,49000,angers,-0.556221025,47.47665708,4.079323014546512
2214,25/06/2021,185000.0,62,3,-0.564012,47.484189,angers,49100,angers,-0.556221025,47.47665708,1.0227729375911523
2215,29/06/2021,176000.0,51,3,-0.577492,47.479528,angers,49100,angers,-0.556221025,47.47665708,1.6347615514824336
2216,28/06/2021,135150.0,51,2,-0.565842,47.471097,angers,49100,angers,-0.556221025,47.47665708,0.9529452094118166
2217,31/05/2021,249900.0,82,3,-0.559504,47.474069,angers,49100,angers,-0.556221025,47.47665708,0.3795205275136401
2218,10/06/2021,340000.0,36,2,-0.561189,47.4733,angers,49100,angers,-0.556221025,47.47665708,0.5287209151322353
2219,10/06/2021,340000.0,70,4,-0.561189,47.4733,angers,49100,angers,-0.556221025,47.47665708,0.5287209151322353
2220,16/06/2021,105000.0,25,2,-0.563668,47.477588,angers,49100,angers,-0.556221025,47.47665708,0.5707874977836783
2221,15/06/2021,120000.0,43,1,-0.561485,47.474845,angers,49100,angers,-0.556221025,47.47665708,0.4450064691818079
2222,16/06/2021,157000.0,84,4,-0.562066,47.485246,angers,49100,angers,-0.556221025,47.47665708,1.0516388799638285
2223,16/06/2021,115000.0,27,1,-0.599709,47.468323,angers,49000,angers,-0.556221025,47.47665708,3.406681964461266
