code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
7,2020,1401590,Angers,19,2,177,-0.552544,47.474679
7,2020,1401590,Angers,17,1,177,-0.552544,47.474679
7,2020,1401590,Angers,26,1,177,-0.552544,47.474679
7,2020,1401590,Angers,13,1,177,-0.552544,47.474679
7,2020,280000,Angers,96,6,203,-0.565839,47.455408
7,2020,280000,Angers,20,1,203,-0.565839,47.455408
7,2020,280000,Angers,18,1,150,-0.546497,47.464009
7,2020,280000,Angers,15,1,150,-0.546497,47.464009
7,2020,280000,Angers,15,1,150,-0.546497,47.464009
7,2020,630000,Angers,15,1,152,-0.548505,47.474907
7,2020,630000,Angers,28,1,152,-0.548505,47.474907
7,2020,630000,Angers,24,1,152,-0.548505,47.474907
7,2020,630000,Angers,36,1,152,-0.548505,47.474907
7,2020,630000,Angers,36,1,152,-0.548505,47.474907
7,2020,630000,Angers,8,1,152,-0.548505,47.474907
7,2020,630000,Angers,23,1,152,-0.548505,47.474907
7,2020,630000,Angers,26,1,152,-0.548505,47.474907
7,2020,630000,Angers,15,1,152,-0.548505,47.474907
7,2020,307000,Angers,40,2,98,-0.552103,47.474866
7,2020,307000,Angers,40,2,98,-0.552103,47.474866
7,2020,307000,Angers,40,2,98,-0.552103,47.474866
7,2020,430000,Angers,190,6,762,-0.526446,47.482284
7,2020,605000,Angers,40,2,45,-0.551728,47.472883
7,2020,605000,Angers,40,2,45,-0.551728,47.472883
7,2020,605000,Angers,40,2,45,-0.551728,47.472883
7,2020,605000,Angers,40,2,45,-0.551728,47.472883
7,2020,230000,Angers,22,1,150,-0.538334,47.47568
7,2020,230000,Angers,46,2,150,-0.538334,47.47568
7,2020,230000,Angers,41,2,59,-0.539488,47.480513
7,2020,230000,Angers,28,2,59,-0.539488,47.480513
7,2020,230000,Angers,36,2,59,-0.539488,47.480513
7,2020,805000,Angers,40,2,113,-0.550301,47.467336
7,2020,805000,Angers,74,3,113,-0.550301,47.467336
7,2020,805000,Angers,34,2,113,-0.550301,47.467336
7,2020,805000,Angers,66,4,137,-0.550217,47.467693
7,2020,805000,Angers,64,3,137,-0.550217,47.467693
7,2020,306000,Angers,18,1,101,-0.556787,47.469153
7,2020,306000,Angers,24,2,101,-0.556787,47.469153
7,2020,306000,Angers,24,2,101,-0.556787,47.469153
7,2020,306000,Angers,33,2,101,-0.556787,47.469153
7,2020,306000,Angers,15,1,101,-0.556787,47.469153
7,2020,306000,Angers,18,1,101,-0.556787,47.469153
7,2020,240000,Angers,25,1,180,-0.554339,47.450242
7,2020,240000,Angers,15,1,180,-0.554339,47.450242
7,2020,240000,Angers,15,1,180,-0.554339,47.450242
7,2020,240000,Angers,43,1,180,-0.554339,47.450242
7,2020,247000,Angers,50,2,46,-0.550343,47.475326
7,2020,610000,Angers,78,4,77,-0.553824,47.469227
7,2020,1600000,Angers,45,1,742,-0.549007,47.472261
7,2020,1600000,Angers,25,1,742,-0.549007,47.472261
7,2020,1600000,Angers,25,1,742,-0.549007,47.472261
7,2020,1600000,Angers,46,2,742,-0.549007,47.472261
7,2020,1600000,Angers,46,2,742,-0.549007,47.472261
7,2020,1600000,Angers,47,2,742,-0.549007,47.472261
7,2020,1600000,Angers,48,2,742,-0.549007,47.472261
7,2020,1600000,Angers,25,1,742,-0.549007,47.472261
