,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
13335,2021,200000.0,65,3,-1.532215,47.253198,nantes,44300,nantes,-1.548204252,47.23204641,2.6448445521925223
13336,2021,115000.0,37,2,-1.515727,47.254706,nantes,44300,nantes,-1.548204252,47.23204641,3.520267374751636
13337,2021,95000.0,29,1,-1.553279,47.218071,nantes,44000,nantes,-1.548204252,47.23204641,1.6005506242469811
13338,2021,157000.0,40,2,-1.574001,47.212551,nantes,44100,nantes,-1.548204252,47.23204641,2.918074209361009
13339,2021,381000.0,106,4,-1.558913,47.219701,nantes,44000,nantes,-1.548204252,47.23204641,1.5942176610697143
13340,2021,307500.0,62,1,-1.554968,47.229342,nantes,44000,nantes,-1.548204252,47.23204641,0.5939299820237055
13341,2021,210000.0,57,4,-1.545838,47.217853,nantes,44000,nantes,-1.548204252,47.23204641,1.588099625097773
13342,2021,268000.0,85,4,-1.535778,47.195624,nantes,44200,nantes,-1.548204252,47.23204641,4.157233812628516
13343,2021,231000.0,67,3,-1.563255,47.220444,nantes,44000,nantes,-1.548204252,47.23204641,1.721372098085758
13344,2021,163000.0,67,3,-1.543572,47.22656,nantes,44000,nantes,-1.548204252,47.23204641,0.7036362846460529
13345,2021,180400.0,34,2,-1.57175,47.211542,nantes,44100,nantes,-1.548204252,47.23204641,2.8942880036391045
13346,2021,68000.0,27,1,-1.558008,47.218511,nantes,44000,nantes,-1.548204252,47.23204641,1.678012963541057
13347,2021,400000.0,94,4,-1.578549,47.213503,nantes,44100,nantes,-1.548204252,47.23204641,3.0874251784259776
13348,2021,102119.59,37,2,-1.538578,47.21605,nantes,44000,nantes,-1.548204252,47.23204641,1.9220462798933224
13349,2021,155000.0,45,2,-1.57197,47.228484,nantes,44000,nantes,-1.548204252,47.23204641,1.8428097905909684
13350,2021,260000.0,51,3,-1.576841,47.220528,nantes,44100,nantes,-1.548204252,47.23204641,2.518623116587571
13351,2021,194500.0,72,4,-1.59637,47.215986,nantes,44100,nantes,-1.548204252,47.23204641,4.061483856621455
13352,2021,250000.0,60,3,-1.554182,47.20487,nantes,44200,nantes,-1.548204252,47.23204641,3.0550797806961696
13353,2021,300500.0,95,5,-1.506378,47.236433,nantes,44300,nantes,-1.548204252,47.23204641,3.2045338361263584
13354,2021,430000.0,90,4,-1.561195,47.228644,nantes,44000,nantes,-1.548204252,47.23204641,1.0539862866587608
13355,2021,180000.0,60,2,-1.538547,47.20375,nantes,44200,nantes,-1.548204252,47.23204641,3.229783677657426
13356,2021,295000.0,81,4,-1.527791,47.211061,nantes,44200,nantes,-1.548204252,47.23204641,2.7988642810517605
13357,2021,235000.0,60,3,-1.542935,47.227095,nantes,44000,nantes,-1.548204252,47.23204641,0.6798925821576147
